시군구,번지,본번,부번,아파트명,전용면적(㎡),계약년월,계약일,층,건축년도,도로명,해제사유발생일,등기신청일자,거래유형,중개사소재지,"k-단지분류(아파트,주상복합등등)",k-전화번호,k-팩스번호,단지소개기존clob,k-세대타입(분양형태),k-관리방식,k-복도유형,k-난방방식,k-전체동수,k-전체세대수,k-건설사(시공사),k-시행사,k-사용검사일-사용승인일,k-연면적,k-주거전용면적,k-관리비부과면적,k-전용면적별세대현황(60㎡이하),k-전용면적별세대현황(60㎡~85㎡이하),k-85㎡~135㎡이하,k-135㎡초과,k-홈페이지,k-등록일자,k-수정일자,고용보험관리번호,경비비관리형태,세대전기계약방법,청소비관리형태,건축면적,주차대수,기타/의무/임대/임의=1/2/3/4,단지승인일,사용허가여부,관리비 업로드,좌표X,좌표Y,단지신청일,target,full_address
서울특별시 강남구 개포동,189,189.0,0.0,개포주공4단지,35.87,201808,28,3,1982,삼성로 14,, ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.068451024326,37.4861548149371,,157000,서울특별시 강남구 개포동 삼성로 14
서울특별시 강남구 개포동,185,185.0,0.0,개포주공7단지,83.7,201710,12,6,1983,개포로 516,, ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.070871480537,37.4891406792843,,140000,서울특별시 강남구 개포동 개포로 516
서울특별시 강남구 개포동,185,185.0,0.0,개포주공7단지,83.7,201710,18,5,1983,개포로 516,, ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.070871480537,37.4891406792843,,138000,서울특별시 강남구 개포동 개포로 516
서울특별시 강남구 개포동,185,185.0,0.0,개포주공7단지,73.26,201710,30,9,1983,개포로 516,, ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.070871480537,37.4891406792843,,128000,서울특별시 강남구 개포동 개포로 516
서울특별시 강남구 개포동,185,185.0,0.0,개포주공7단지,83.7,201710,31,3,1983,개포로 516,, ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.070871480537,37.4891406792843,,138000,서울특별시 강남구 개포동 개포로 516
서울특별시 강남구 개포동,185,185.0,0.0,개포주공7단지,73.26,201711,1,11,1983,개포로 516,, ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.070871480537,37.4891406792843,,130000,서울특별시 강남구 개포동 개포로 516
서울특별시 강남구 개포동,185,185.0,0.0,개포주공7단지,60.76,201711,3,14,1983,개포로 516,, ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.070871480537,37.4891406792843,,119000,서울특별시 강남구 개포동 개포로 516
서울특별시 강남구 개포동,185,185.0,0.0,개포주공7단지,53.46,201711,4,7,1983,개포로 516,, ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.070871480537,37.4891406792843,,106800,서울특별시 강남구 개포동 개포로 516
서울특별시 강남구 개포동,185,185.0,0.0,개포주공7단지,53.46,201711,13,1,1983,개포로 516,, ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.070871480537,37.4891406792843,,104000,서울특별시 강남구 개포동 개포로 516
서울특별시 강남구 개포동,185,185.0,0.0,개포주공7단지,73.26,201711,15,3,1983,개포로 516,, ,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.070871480537,37.4891406792843,,130200,서울특별시 강남구 개포동 개포로 516
